statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
13311;Regional employment accounts;JAHR;Year;2003;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;39246.0;1000;ERW063;Persons in employment (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2003;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;4134.0;1000;ERW062;Self-employed persons a. family workers (domestic);e
13311;Regional employment accounts;JAHR;Year;2003;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;;Total;35112.0;1000;ERW061;Employees (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2006;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-D;Electricity, gas, steam, air conditioning supply;.;1000;ERW063;Persons in employment (domestic concept);
13311;Regional employment accounts;JAHR;Year;2006;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-D;Electricity, gas, steam, air conditioning supply;.;1000;ERW062;Self-employed persons a. family workers (domestic);
13311;Regional employment accounts;JAHR;Year;2006;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-D;Electricity, gas, steam, air conditioning supply;.;1000;ERW061;Employees (domestic concept);
13311;Regional employment accounts;JAHR;Year;2008;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-K-N;Financial, insurance, business, real estate act.;6729.0;1000;ERW063;Persons in employment (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2008;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-K-N;Financial, insurance, business, real estate act.;1029.0;1000;ERW062;Self-employed persons a. family workers (domestic);e
13311;Regional employment accounts;JAHR;Year;2008;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-K-N;Financial, insurance, business, real estate act.;5700.0;1000;ERW061;Employees (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2012;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-F;Construction;2403.0;1000;ERW063;Persons in employment (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2012;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-F;Construction;508.0;1000;ERW062;Self-employed persons a. family workers (domestic);e
13311;Regional employment accounts;JAHR;Year;2012;DINSG;Germany;DG;Germany;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-F;Construction;1895.0;1000;ERW061;Employees (domestic concept);e
