WKT,fid,Land,Typ,Bezeichnung,Leistung (MWp),Jahr der Inbetriebnahme,Breitengrad_HP,Längengrad_HP,PLZ
"POINT (9.45556515 54.05288612)",1.0,DE,PVA,Aasbüttel,118.0,2025.0,54.05288612,9.45556515,25560
"POINT (12.49180962 53.16138945)",2.0,DE,PVA,Alt Daber 1,37.0,2018.0,53.16138945,12.49180962,16909
"POINT (12.51653891 53.13405708)",3.0,DE,PVA,Alt Daber 2-4,172.0,2018.0,53.13405708,12.51653891,16909
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.72899666 50.77357862)",4.0,DE,PVA,Altenberg,10.0,2019.0,50.77357862,13.72899666,01773
"POINT (13.2563426 53.69893517)",5.0,DE,PVA,Altentreptow,65.0,2022.0,53.69893517,13.2563426,17087
"POINT (12.49825943 51.3311756)",6.0,DE,PVA,Althen,735.0,2012.0,51.3311756,12.49825943,04319
"POINT (12.50162175 51.33301945)",7.0,DE,PVA,Althen 2,24.0,2018.0,51.33301945,12.50162175,04319
"POINT (14.03709195 53.0440527)",8.0,DE,PVA,Angermünde,174.0,2011.0,53.0440527,14.03709195,16278
"POINT (11.84569946 51.43665132)",9.0,DE,PVA,Angersdorf,685.0,2020.0,51.43665132,11.84569946,06179
"POINT (13.68705527 53.82500682)",10.0,DE,PVA,Anklam,126.0,2015.0,53.82500682,13.68705527,17389
"POINT (11.65292578 51.89090029)",11.0,DE,PVA,Atzendorf,145.0,2021.0,51.89090029,11.65292578,39443
"POINT (11.75826908 51.78234422)",12.0,DE,PVA,Baalberge,238.0,2019.0,51.78234422,11.75826908,06406
"POINT (11.74915829 51.78538115)",13.0,DE,PVA,Bernburg,10.0,2013.0,51.78538115,11.74915829,06406
